name,supply1,supply2,supply3,supply4,time,info
射撃訓練,0,30,0,0,15,第一章 Lv.1 2+
作戦演習,0,30,30,0,30,第一章 Lv.2 3+
近海警備,30,30,30,30,30,第一章 Lv.3 4+ 駆逐x2
対潜演習,0,100,0,0,60,第一章 Lv.5 4+ 駆逐x2
護衛作戦,150,175,20,20,120,第二章 Lv.5 5+ 軽巡x1 駆逐x2
航海訓練,0,0,0,75,45,第二章 Lv.10 4+ 軽巡x2
編成演習,0,0,50,30,60,第二章 Lv.10 6+
大規模編成演習,50,100,50,50,180,第二章 Lv.10 6+
遠洋護衛,350,0,0,0,240,第三章 Lv.15 4+ 駆逐x2
前線偵察,50,0,50,30,90,第三章 Lv.20 4+ 駆逐x1
巡洋艦編成演習,0,0,0,250,300,第三章 LV.8 4+ 重巡x1
運送艦隊護衛,50,250,200,50,480,第三章 Lv.12 4+ 重巡x1
封鎖ライン突破,240,300,0,0,240,第四章 Lv.20 6+ 駆逐x4
砲撃支援,0,240,200,0,360,第四章 Lv.30 6+ 軽巡x2 駆逐x2
通商路封鎖,0,0,300,400,720,第四章 Lv.20 6+ 軽巡x2
揚陸作戦,0,200,0,90,210,第四章 Lv.30 4+
武装偵察,120,0,120,0,120,第五章 Lv.25 4+ 駆逐x3
主力艦隊出撃,0,0,0,180,300,第五章 Lv.25 6+ 軽母x1 駆逐x2
航空援護,60,80,0,0,60,第五章 Lv.40 6+ 戦艦x1 駆逐x2
夜間強襲作戦,0,0,200,0,120,第五章 Lv.50 6+ 駆逐x6
